id_x,created_time,profile_id,text_original,comments_count,id_y,username,full_name,description,is_verified,restricted,_id,_status,id_alt,followers_count
971856574169866,2022-12-27 17:00:10+00,100069390481601,📌 Putin prohíbe el suministro de crudo ruso a los países que se han sumado al tope de su precio 📌 La disposición entrará en vigor el 1 de febrero del 2023 📌 En los mercados internacionales se registra un repunte del precio del combustible,291,100069390481601.0,unzensuriert,unzensuriert.at,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich",False,,13.0,downloaded,,58000.0
734562668126038,2023-02-21 09:01:54+00,100049129852371,خطاب ينتظره العالم.. هل يغير بوتين مسار العملية العسكرية الروسية في أوكرانيا؟ https://ar.rt.com/usne,447,100049129852371.0,Prüfe-alles-glaube-wenig-denke-selbst,"Prüfe alles, glaube wenig, denke selbst.",🙂 https://t.me/pruefealles & 🎬 https://rumble.com/user/PruefeAllesGlaubeWenigDenkeSelbst,False,,6.0,downloaded,,74000.0
823098289181058,2023-04-24 10:33:43+00,100063622184348,Avertizare de vuftuni violente și fenomene meteo periculoase,341,100063622184348.0,Sergiu.Mihalcea.PaginaOficiala,Sergiu Mihalcea,",,Civism și Conștiință”| Jurnalism independent| Comunicare obiectivă | Implicare cetățenească. ",False,,294.0,downloaded,,126000.0
2317863175082124,2023-04-24 05:46:24+00,100068846905135,"Când o mamă se roagă pentru copiii ei, Dumnezeu ascultă, îngerii îi păzesc şi au loc adevărate minuni. Atinge fontul albastru pentru a accepta binecuvântarea 💌👉 [https://m.me/beliefingod.ro?ref=tg--?lyfb_xz12num=728811TE](https://m.me/beliefingod.ro?ref=tg--%3Flyfb_xz12num%3D728811TE&fbclid=IwAR30xHcY56rYhgGlSqHqib0oFbYJTdHNzL6iFcPtbHeJ7eV1Xzdk1eU-iYM)",98,100068846905135.0,russembangola,Embaixada da Federação da Rússia na República de Angola,"A página oficial da Embaixada da Rússia em Angola e São Tomé e Príncipe
Официальная ",True,,3.0,downloaded,,26000.0
887980615875297,2023-02-18 14:04:45+00,233946916972658,Magyarország a veszélyek korába lépett. A koronavírus-járvány után a háború és a brüsszeli szankciók nyomán kialakuló gazdasági és energiaválság jelenti a legnagyobb kihívásokat Magyarország számára. A miniszterelnök értékeli a 2022-es évet.,139,233946916972658.0,friedentotal,Frieden Total,"Ab Januar 2017  bei Facebook, Instagram & YouTube:

""Frieden Total"" 

Die  Friedensaktivisten - Webshow - Mit ""Frieden Total"" hat Ben Frieden 2017 eine Oase des Friedens erschaffen, die in erster Linie positive Energie, Mut und Zuversicht spenden möchte. Und wir können voller Freude sagen: Genau das tut sie auch! Das Kernteam bilden jetzt der gerade erwähnte Gründungsvater Ben Frieden und Simon Gabriel.

Letztendlich ist ""Frieden Total"" inzwischen zu einem Friedensnetzwerk gewachsen, das eine Vielzahl an Aktivisten in Deutschland und Österreich miteinander verbindet. In dieser Verbindung finden wir die wundervolle Möglichkeit, uns gegenseitig zu bestärken, zu inspirieren und Friedensprojekte unterschiedlichster Art gemeinsam mit Leben zu füllen. Wir präsentieren, wir singen, wir texten, wir rappen, wir fotografieren, wir filmen, wir philosophieren... kurzum: wir feiern das Leben und nutzen unsere kreative sprich unsere schöpferische Energie, um so in Verbundenheit unsere Visionen ins Leben zu rufen. Dies hilft uns dabei, unsere eigenen Traumata zu transformieren, den Frieden in uns zu gestalten, um ihn dann mit Freude in unsere Welt zu tragen.

Auf Facebook ist inzwischen eine wundervolle Community entstanden, die über 50.000 Mitwirkende zählt. Wir sind äußerst dankbar über den regen Austausch, der über das Netzwerk stattfindet. Wir möchten auch weiterhin dazu beitragen, den ein oder anderen Impuls oder Denkanstoß zu geben.

Das Schöne an dieser Verbindung ist ja insbesondere die Offenheit, die sie kennzeichnet. Es ist wirklich jeder dazu eingeladen, sich mit seinen Ideen und Visionen an dieser Friedensarbeit zu beteiligen. Es gibt keine Barrieren, denn eine friedliche Begegnung ist nicht nur im Netz, sondern - und das ist vielleicht noch viel wichtiger - auch auf den alljährlichen Veranstaltungen wie dem Friedenscamp im Rahmen der ""Stopp Air Base Ramstein - keinen Drohnenkrieg Aktionswoche"" oder dem ""Pax Terra Musica Friedensfestival"" regelmäßig möglich. Hier kommen wir zusammen, um gemeinsam Teil der Veränderung zu sein, wie sagt es Mahatma Gandhi so treffend: ""Sei du selbst die Veränderung, die du dir wünscht für diese Welt.""

Und nein, wir wollen nicht missionieren, besserwisserisch daherkommen oder jemanden diktieren, wie er zu denken oder zu handeln hat. Letzendlich sind wir doch alle noch auf dem Weg der Selbstfindung.

Wir möchten als Teil der Friedensbewegung andere Menschen an diesem Weg teilhaben lassen und ihnen mit unseren Projekten zeigen, was wir als Aktivisten in der Friedensbewegung so tun, wie wir uns in den letzen Jahren vernetzt haben, wo wir uns engagieren und wie viele unterschiedliche Möglichkeiten es gibt friedlich, selbstbestimmt und effektiv zusammen zu kommen. Darüber hinaus möchten wir zum Beispiel über alternative und autarke Lebensweisen berichten.

Wir wollen Menschen erreichen, die sich für die Friedensarbeit interessieren und sich vielleicht (mehr) engagieren wollen. Menschen, die etwas Gutes für unseren Planeten tun möchten, nicht mehr mitmachen wollen in diesen destruktiven Systemen und die sich nicht auseinanderdividieren lassen wollen.

Es wäre für uns eine unendlich große Freude, wenn wir mit ""Frieden Total"" dazu beitragen können, dass sich die Friedensbewegungen wieder aufeinader zubewegen, ihre Differenzen beiseite legen und damit beginnen, sich als Einheit wahrzunehmen. Letztendlich ist Frieden eine sehr verbindende Kraft und egal ob Ernährung, Naturschutz, Menschen- oder Tierrechte etc. letztendlich verbindet uns alle der Wunsch nach Liebe, Frieden und Freiheit.

Wir sind davon überzeugt, dass die Zeit jetzt endgültig reif für eine vereinte Friedensbewegung ist und das nicht nur in Anbetracht der geopolitischen Stürme, die immer wieder aufziehen. Eine integrative Friedensbewegung hat sicherlich die Kraft, wirklichen Zusammenhalt lebendig werden zu lassen. 

Wir haben die Vision einer globalen Vereinigung aller Friedensbewegungen, damit endlich ein deutlich spürbarer Schritt zum Weltfrieden gegangen werden kann. Wir wollen nicht mehr gegeneinander spielen, sondern zurück auf ""Los"" gehen und den Spieler, der die Bank betreibt, unsere Kraft entziehen. Frei nach der Devise: Wir weigern uns, Feinde zu sein!

Wir sind die Mehrheit, die Frieden wollen. Vielleicht sind wir zum Teil auch die informierte und wütende Öffentlichkeit von der Edward Snowden gesprochen hat, doch eines ist GANZ sicher: Wir werden besonders in diesen Zeiten friedliche und empathische Menschen bleiben und wir werden dies auch in Zukunft weiterhin zum Ausdruck bringen.

Und darum sagen wir: Kommt, wir ziehen gemeinsam in den Frieden!",False,,107.0,downloaded,,62416.0
958180171892237,2023-04-16 12:36:19+00,787994435289379,Khartoum in chaos amid clashes | Livestream,61,787994435289379.0,group/rumenradevspasitel,Румен Радев - спасителят на България,,,,65.0,downloaded,,22600.0
20148557267331,2023-04-22 07:27:05+00,100064898132087,A Leopoldinát 1652-ben alapították Academia Naturae Curiosorum elnevezéssel.,51,100064898132087.0,ambrusitalia,Ambasciata della Federazione Russa in Italia / Посольство России в Италии,Il profilo ufficiale dell'Ambasciata della Federazione Russa in Italia e nella Repubblica di San Mar,True,,603.0,downloaded,,38000.0
633042068837701,2023-04-20 01:52:06+00,1575860640,Az egyik legkedvesebb hang és személyiség a tv hőskorából.,78,1575860640.0,giorgio.bianchi.100,Giorgio Bianchi,"Documentary photographer - Director - Filmmaker - Writer

t.me@giorgiobianchiphotojournalist
",False,,514.0,downloaded,,107436.0
1278269502853468,2023-04-24 09:40:14+00,100064603219571,Nu îți este rușine ! Să îmi iei puiuții!,35,100064603219571.0,armadaRF,Armáda Ruskej Federácie,"Tento projekt sa zaoberá armádou Ruskej federácie, technikou RF a ZSSR, armádou ZSSR a spriatele",False,,438.0,downloaded,,83000.0
979082653090770,2023-04-23 18:15:18+00,100063695660293,"Adrian Papahagi anunță pe pagina sa de Facebook că a transmis către Sfântul Sinod al Bisericii Ortodoxe Române și către Adunarea Națională Bisericească o scrisoare deschisă privind dezideratul unității creștinilor în celebrarea Paștelui. Scrisoarea este semnată de numeroase personalități, printre care Andrei Pleșu, Teodor Baconschi, Gheorghiță Ciocioi, Marius Vasileanu, Dragoș Ursu și alții. „Conștiința nevoii de a unifica data la care sărbătorim Învierea Domnului a existat mereu în interiorul Ortodoxiei”, se arată în textul scrisorii. „Celebrând laolaltă Învierea Domnului, am face un pas important spre mult mai complicata reîntregire a Bisericii Lui Hristos”, dar pentru că „problema pascaliei nu poate fi rezolvată doar prin voința unilaterală a Bisericii Ortodoxe Române”, inițiatorii petiției, Adrian Papahagi și Teodor Baconschi, solicită BOR „să se implice cu energie și convingere în dialogul panortodox și interconfesional pe această temă, spre a convinge și Bisericile Ortodoxe surori să adopte duhul unității și să sprijine inițiativele Patriarhiei Ecumenice de la Constantinopol.” La trei ore de la publicare, petiția a adunat peste 1500 de semnături.",36,100063695660293.0,ukraina.ru,Украина.ру,Информационно-аналитическое издание «Украина.ру»,False,,378.0,downloaded,,38000.0
