id,created_time,profile_id,text_original,comments_count
2318039031731205,2023-04-24 12:29:35+00,100068846905135,Smerenia pleacă din inima ta,0
2318026655065776,2023-04-24 12:07:02+00,100068846905135,# Sfântul în Arsenie Boca # Nu ignora puneţi o dorintă，să aibă parte de 7 ani de fericire si prosperitate.Primit-o cu: Amin!**Atinge fontul albastru pentru a accepta binecuvântarea.**[https://m.me/beliefingod.ro?ref=tg--?lyfb_xz02num=79](https://m.me/beliefingod.ro?ref=tg--%3Flyfb_xz02num%3D7966410),22
2318008095067632,2023-04-24 11:35:01+00,100068846905135,"🙏❤️Hristos a purtat crucea ca orice suflet care va crede în El să fie salvat 🍀În 2023, [fie ca locuința ta să fie înconjurată în fiecare zi de pace, fericire, căldură și iubire. În numele lui Iisus!](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz44num%3D915477) Atinge fontul albastru pentru a accepta binecuvântarea 🙏👉**[https://m.me/Puterearugaciunii.ro?ref=tg--?lyfb_xz44num=915477](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz44num%3D915477)**23",7
2317991458402629,2023-04-24 10:58:15+00,100068846905135,"🙏💖Cea mai frumoasă rugăciune，Fie ca família ta să fíe eliberată de boală şi suferinţă în 2023,în numele lui lisus! Acceptaţi-o tastând，„Amin 📩👉https://m.me/Dumnezeuesteiubirero?ref=tgz--?lyfb_xz58num=796646398-76 💖 Atinge fontul albastru pentru a accepta binecuvântarea.👈",16
2317968635071578,2023-04-24 10:06:35+00,100068846905135,"# **va fi una dintre zilele minunate din viața ta, pentru că binecuvântarea lui dumnezeu coboară asupra ta. PRIMEȘTE CU AMIN!** # **Click pe link pentru a primi binecuvântare🙏👉https://m.me/beliefingod.ro?ref=tg--?lyfb_xz03num=7966461**",10
2317962955072146,2023-04-24 09:53:44+00,100068846905135,"🙏🙏[Părinte roagă-te pentru noi păcătoșii!](https://m.me/Godlovesyou.ro?ref=tg--%3Flyfb_xz02num%3D5771877)👇 [Astăzi vreau ca Dumnezeu sa-i vindece pe toți cei care trăiesc în durere.Amin 🙏Când inima ta este rănită, nu uita să te rogi lui Dumnezeu, căci numai Dumnezeu este singurul care poate vindeca rănile din inima 🍀În 2023, fie ca locuința ta să fie înconjurată în fiecare zi de pace, fericire, căldură și iubire. În numele lui Iisus! Atinge fontul albastru pentru a accepta binecuvântarea](https://m.me/Godlovesyou.ro?ref=tg--%3Flyfb_xz02num%3D5771877)🔔💖👆",1
2317930008408774,2023-04-24 08:28:44+00,100068846905135,"**🙏🙏🌺Faceți clic pe linkul albastru, Atingeți Icoana Maicii Domnului și fie ca familia dvs. să scape de boală și durere în numele lui Dumnezeu în 2023! Amin.💌👉 https://m.me/Dumnezeuesteiubirero?ref=tgz--?lyfb_xz01num=5486444-191**",0
2317929618408813,2023-04-24 08:27:46+00,100068846905135,"Când toate mamele se vor ruga pentru copiii lor, vor spune: „Doamne, Te rog, dă-le copiilor mei fericire și sănătate, mai mult decât Mi-ai dat Tu…”Dați click pe fontul albastru pentru a primi binecuvântarea 🙏** https://m.me/Godlovesyou.ro?ref=tg--?lyfb_xz56num=6978795129**",3
2317927268409048,2023-04-24 08:21:41+00,100068846905135,Preoția NU se dă oricui! Părintele Calistrat Chifan vorbește despre Taina Preoției. Care este această taină în funcție de Noul și Vechiul Testament,0
2317913018410473,2023-04-24 07:47:14+00,100068846905135,"# 🙏❤️[Hristos a purtat crucea ca orice suflet care va crede în El să fie salvat ](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz17num%3D2675951)🍀În 2023, fie ca locuința ta să fie înconjurată în fiecare zi de pace, fericire, căldură și iubire. În numele lui Iisus! Atinge fontul albastru pentru a accepta [binecuvântarea](https://ro.kingdomsalvation.org/videos/knowing-God-excerpt-161.html?lyfb_xz17num=4065402) # 🙏👉 [https://m.me/Puterearugaciunii.ro?ref=tg--?lyfb_xz17num=267595](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz17num%3D989142)1",58
